# alpha0 alpha1 deshaded_entropy 
2.3e-05 1e-05 5.19556
2.32222e-05 1e-05 5.19493
2.34444e-05 1e-05 5.19431
2.36667e-05 1e-05 5.1937
2.38889e-05 1e-05 5.19314
2.41111e-05 1e-05 5.19259
2.43333e-05 1e-05 5.19206
2.45556e-05 1e-05 5.19153
2.47778e-05 1e-05 5.19098
2.5e-05 1e-05 5.19036
2.3e-05 1.88889e-05 5.26403
2.32222e-05 1.88889e-05 5.26368
2.34444e-05 1.88889e-05 5.26331
2.36667e-05 1.88889e-05 5.26292
2.38889e-05 1.88889e-05 5.26256
2.41111e-05 1.88889e-05 5.26217
2.43333e-05 1.88889e-05 5.2618
2.45556e-05 1.88889e-05 5.26141
2.47778e-05 1.88889e-05 5.26101
2.5e-05 1.88889e-05 5.26062
2.3e-05 2.77778e-05 5.2915
2.32222e-05 2.77778e-05 5.29118
2.34444e-05 2.77778e-05 5.29086
2.36667e-05 2.77778e-05 5.29055
2.38889e-05 2.77778e-05 5.29027
2.41111e-05 2.77778e-05 5.29001
2.43333e-05 2.77778e-05 5.28974
2.45556e-05 2.77778e-05 5.28946
2.47778e-05 2.77778e-05 5.28918
2.5e-05 2.77778e-05 5.28892
2.3e-05 3.66667e-05 5.31885
2.32222e-05 3.66667e-05 5.31847
2.34444e-05 3.66667e-05 5.3181
2.36667e-05 3.66667e-05 5.31776
2.38889e-05 3.66667e-05 5.31742
2.41111e-05 3.66667e-05 5.31708
2.43333e-05 3.66667e-05 5.31673
2.45556e-05 3.66667e-05 5.31638
2.47778e-05 3.66667e-05 5.31603
2.5e-05 3.66667e-05 5.31567
2.3e-05 4.55556e-05 5.33712
2.32222e-05 4.55556e-05 5.3369
2.34444e-05 4.55556e-05 5.33667
2.36667e-05 4.55556e-05 5.33645
2.38889e-05 4.55556e-05 5.33625
2.41111e-05 4.55556e-05 5.33606
2.43333e-05 4.55556e-05 5.33587
2.45556e-05 4.55556e-05 5.33569
2.47778e-05 4.55556e-05 5.3355
2.5e-05 4.55556e-05 5.33529
2.3e-05 5.44444e-05 5.34493
2.32222e-05 5.44444e-05 5.34481
2.34444e-05 5.44444e-05 5.34467
2.36667e-05 5.44444e-05 5.34452
2.38889e-05 5.44444e-05 5.34438
2.41111e-05 5.44444e-05 5.34425
2.43333e-05 5.44444e-05 5.3441
2.45556e-05 5.44444e-05 5.34397
2.47778e-05 5.44444e-05 5.34386
2.5e-05 5.44444e-05 5.34375
2.3e-05 6.33333e-05 5.34609
2.32222e-05 6.33333e-05 5.34605
2.34444e-05 6.33333e-05 5.34601
2.36667e-05 6.33333e-05 5.34595
2.38889e-05 6.33333e-05 5.34589
2.41111e-05 6.33333e-05 5.34584
2.43333e-05 6.33333e-05 5.34578
2.45556e-05 6.33333e-05 5.34574
2.47778e-05 6.33333e-05 5.34572
2.5e-05 6.33333e-05 5.3457
2.3e-05 7.22222e-05 5.34424
2.32222e-05 7.22222e-05 5.3442
2.34444e-05 7.22222e-05 5.34418
2.36667e-05 7.22222e-05 5.34413
2.38889e-05 7.22222e-05 5.34409
2.41111e-05 7.22222e-05 5.34405
2.43333e-05 7.22222e-05 5.34401
2.45556e-05 7.22222e-05 5.34398
2.47778e-05 7.22222e-05 5.34395
2.5e-05 7.22222e-05 5.34395
2.3e-05 8.11111e-05 5.3418
2.32222e-05 8.11111e-05 5.3418
2.34444e-05 8.11111e-05 5.34181
2.36667e-05 8.11111e-05 5.34182
2.38889e-05 8.11111e-05 5.34183
2.41111e-05 8.11111e-05 5.34184
2.43333e-05 8.11111e-05 5.34186
2.45556e-05 8.11111e-05 5.34188
2.47778e-05 8.11111e-05 5.34191
2.5e-05 8.11111e-05 5.34194
2.3e-05 9e-05 5.33935
2.32222e-05 9e-05 5.33933
2.34444e-05 9e-05 5.33931
2.36667e-05 9e-05 5.33929
2.38889e-05 9e-05 5.33926
2.41111e-05 9e-05 5.33925
2.43333e-05 9e-05 5.33923
2.45556e-05 9e-05 5.33922
2.47778e-05 9e-05 5.33921
2.5e-05 9e-05 5.33921
